asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth,category_name,price_capped,reviews_capped
B0BCGBRLTC,Women's Plus Size V Neck Puff Short Sleeve Belted Wide Leg Jumpsuit,https://m.media-amazon.com/images/I/61NFraUG-iL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BCGBRLTC,3.7,0,41.99,43.99,116,False,50,Women's Clothing,41.99,0.0
B006IOO80U,"Men's Roma Basic Fashion Sneaker, Black/White/Silver - 9 D(M) US",https://m.media-amazon.com/images/I/71MSSuNyIFL._AC_UL320_.jpg,https://www.amazon.com/dp/B006IOO80U,4.2,465,47.99,70.0,114,False,50,Men's Shoes,47.99,465.0
B095PXMLNS,Hot wheels Character Cars The Batman 2022 New,https://m.media-amazon.com/images/I/519BCg55I-L._AC_UL320_.jpg,https://www.amazon.com/dp/B095PXMLNS,4.3,0,10.95,0.0,236,False,0,Kids' Play Cars & Race Cars,10.95,0.0
B07R8SGTCN,"Fox Bracelet Jewelry - Infinity Love Fox Gifts Fox Jewelry Bracelet Gifts For Girls, Women, Men, Fox Valentine Gifts Fox Themed Gifts Fox Wedding Gifts",https://m.media-amazon.com/images/I/71iUJX7+dSL._AC_UL320_.jpg,https://www.amazon.com/dp/B07R8SGTCN,4.6,172,5.79,0.0,95,False,0,Girls' Jewelry,5.79,172.0
B0B3VT4WGW,"A3 Diamond Painting Storage Book, 60 Views Art Portfolio Presentations Folder with 30 Pages Protectors, 17.3x12.8in",https://m.media-amazon.com/images/I/71SFU0Xp0dL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B3VT4WGW,4.7,0,9.99,0.0,11,False,700,Craft Supplies & Materials,9.99,0.0
B0BW88W8NW,"Tattoo Gun, Solong Tattoo Kit Complete for Beginners Rotary Tattoo Machine Kit 10pcs Tattoo Needles Cartridges Tattoo Ink Set Tattoo Power Supply Tattoo Pen Kit EK128B-1-US",https://m.media-amazon.com/images/I/71hG08LS54L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BW88W8NW,4.5,0,28.99,0.0,52,False,600,Personal Care Products,28.99,0.0
B09K4QKX6M,"Baby Brezza One Step Motorized Baby Formula Mixer Pitcher – No Air Bubble Electric Mixing For Infant Formula Powder For Baby Bottles - Large Capacity, Mix 28oz Of Formula - Portable For Travel",https://m.media-amazon.com/images/I/51jut3SWOTL._AC_UL320_.jpg,https://www.amazon.com/dp/B09K4QKX6M,4.5,0,21.99,0.0,30,False,1000,Baby & Toddler Feeding Supplies,21.99,0.0
B0006KSNEO,Woodland Scenics N 2' Track-Bed Strips (36),https://m.media-amazon.com/images/I/415m+xhNYHL._AC_UL320_.jpg,https://www.amazon.com/dp/B0006KSNEO,4.0,0,23.77,25.89,233,False,0,Toy Vehicle Playsets,23.77,0.0
B07B54YWCF,"CURT 56403 Vehicle-Side Custom 4-Pin Trailer Wiring Harness, Fits Select Volkswagen Tiguan",https://m.media-amazon.com/images/I/71o5OFtV4ZL._AC_UL320_.jpg,https://www.amazon.com/dp/B07B54YWCF,4.5,0,83.92,0.0,27,False,0,RV Parts & Accessories,83.92,0.0
B0BXQMY59J,"acer 2023 Flagship Chromebook 14"" FHD 1080p IPS Touchscreen Light Computer Laptop, Intel Celeron N4020 (Upto 2.6GHz, 4GB RAM, 64GB eMMC, HD Webcam, WiFi 5, 12+ Hours Battery, Chrome OS+MarxsolCables",https://m.media-amazon.com/images/I/81VgZr01tGL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BXQMY59J,3.6,0,233.96,0.0,57,False,0,Computers & Tablets,233.96,0.0
B0B5P635XL,"Family Dolls Set of 6 People with Pregnant Mom Dad 3 Kids and Baby Boy in Mommy's Tummy, Doll Playsets and Accessories for 3-12 Years Old Toddlers Gift(Update)",https://m.media-amazon.com/images/I/61dU-9CPDoL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B5P635XL,4.1,0,29.99,0.0,221,False,300,Dolls & Accessories,29.99,0.0
B0BN4Z6BLL,"24 Pcs Mickey Mouse Themed Stampers, Mickey Mouse Birthday Party Supplies Favors, Classroom Rewards Prizes, Goody Bag Treat Bag Stuff for Mickey Mouse Birthday Party Gifts",https://m.media-amazon.com/images/I/81FdR-B6AhL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BN4Z6BLL,4.5,86,12.99,0.0,219,False,400,Arts & Crafts Supplies,12.99,86.0
B07WS485JS,"Broom and Dustpan Set,Indoor Broom with Dust pan Combo Set for Home,Angle Kitchen Broom for Floor Sweeping",https://m.media-amazon.com/images/I/61KLt45GI7L._AC_UL320_.jpg,https://www.amazon.com/dp/B07WS485JS,4.4,0,18.97,28.99,167,False,1000,Household Cleaning Supplies,18.97,0.0
B0986L6KF7,"Headband and Scrunchie Holder with room on the bottom for small hair accessories. Clear Display, Acrylic Organizer for all hair accessories, Bows, Hair Ties, Clips, Pins & More,",https://m.media-amazon.com/images/I/91WsBWxmH9L._AC_UL320_.jpg,https://www.amazon.com/dp/B0986L6KF7,4.6,0,19.99,34.99,173,False,500,Home Storage & Organization,19.99,0.0
B0BW4KVR23,Duck Bath Thermometer Waterproof Design Electric Floating Safety Duck Bath Thermometer for Baby Infant Yellow,https://m.media-amazon.com/images/I/51XQcClFqtL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BW4KVR23,1.0,1,12.32,0.0,35,False,0,Baby Care Products,12.32,1.0
B06XYJ9H8N,HC-SR501 Adjustable IR Pyroelectric Infrared PIR Motion Sensor Detector PID Modules for Arduino & Raspberry Pi Projects 5 Pairs by Ardest,https://m.media-amazon.com/images/I/61GsYb+NCRS._AC_UL320_.jpg,https://www.amazon.com/dp/B06XYJ9H8N,3.9,0,12.99,0.0,80,False,0,Security & Surveillance Equipment,12.99,0.0
